-3.950000	4.850000	0.000000
-3.950000	4.950000	0.000000
-3.950000	5.050000	0.000000
-3.950000	5.150000	0.000000
-3.950000	5.250000	0.000000
-3.950000	5.350000	0.000000
-3.950000	5.450000	0.000000
-3.950000	5.550000	0.000000
-3.950000	5.650000	0.000000
-3.950000	5.750000	0.000000
-3.950000	5.850000	0.000000
-3.950000	5.950000	0.000000
-3.950000	6.050000	0.000000
-3.950000	6.150000	0.000000
-3.950000	6.250000	0.000000
-3.950000	6.350000	0.000000
-3.950000	6.450000	0.000000
-3.950000	6.550000	0.000000
-3.950000	6.650000	0.000000
-3.950000	6.750000	0.000000
-3.950000	6.850000	0.000000
-3.950000	6.950000	0.000000
-3.950000	7.050000	0.000000
-3.950000	7.150000	0.000000
-3.950000	7.250000	0.000000
-3.950000	7.350000	0.000000
-3.950000	7.450000	0.000000
-3.950000	7.550000	0.000000
-3.950000	7.650000	0.000000
-3.950000	7.750000	0.000000
-3.950000	7.850000	0.000000
-3.950000	7.950000	0.000000
-3.950000	8.050000	0.000000
-3.950000	8.150000	0.000000
-3.950000	8.250000	0.000000
-3.950000	8.350000	0.000000
-3.950000	8.450000	0.000000
-3.950000	8.550000	0.000000
-3.950000	8.650000	0.000000
-3.950000	8.750000	0.000000
-3.950000	8.850000	0.000000
-3.950000	8.950000	0.000000
-3.950000	9.050000	0.000000

-3.850000	-3.950000	0.000000
-3.850000	-3.850000	0.000000
-3.850000	-3.750000	0.000000
-3.850000	-3.650000	0.000000
-3.850000	-3.550000	0.000000
-3.850000	-3.450000	0.000000
-3.850000	-3.350000	0.000000
-3.850000	-3.250000	0.000000
-3.850000	-3.150000	0.000000
-3.850000	-3.050000	0.000000
-3.850000	-2.950000	0.000000
-3.850000	-2.850000	0.000000
-3.850000	-2.750000	0.000000
-3.850000	-2.650000	0.000000
-3.850000	-2.550000	0.000000
-3.850000	-2.450000	0.000000
-3.850000	-2.350000	0.000000
-3.850000	-2.250000	0.000000
-3.850000	-2.150000	0.000000
-3.850000	-2.050000	0.000000
-3.850000	-1.950000	0.000000
-3.850000	-1.850000	0.000000
-3.850000	-1.750000	0.000000
-3.850000	-1.650000	0.000000
-3.850000	-1.550000	0.000000
-3.850000	-1.450000	0.000000
-3.850000	-1.350000	0.000000
-3.850000	-1.250000	0.000000
-3.850000	-1.150000	0.000000
-3.850000	-1.050000	0.000000
-3.850000	-0.950000	0.000000
-3.850000	-0.850000	0.000000
-3.850000	-0.750000	0.000000
-3.850000	-0.650000	0.000000
-3.850000	-0.550000	0.000000
-3.850000	-0.450000	0.000000
-3.850000	-0.350000	0.000000
-3.850000	-0.250000	0.000000
-3.850000	-0.150000	0.000000
-3.850000	-0.050000	0.000000
-3.850000	0.050000	0.000000
-3.850000	0.150000	0.000000
-3.850000	0.250000	0.000000
-3.850000	0.350000	0.000000
-3.850000	0.450000	0.000000
-3.850000	0.550000	0.000000
-3.850000	0.650000	0.000000
-3.850000	0.750000	0.000000
-3.850000	0.850000	0.000000
-3.850000	0.950000	0.000000
-3.850000	1.050000	0.000000
-3.850000	1.150000	0.000000
-3.850000	1.250000	0.000000
-3.850000	1.350000	0.000000
-3.850000	1.450000	0.000000
-3.850000	1.550000	0.000000
-3.850000	1.650000	0.000000
-3.850000	1.750000	0.000000
-3.850000	1.850000	0.000000
-3.850000	1.950000	0.000000
-3.850000	2.050000	0.000000
-3.850000	2.150000	0.000000
-3.850000	2.250000	0.000000
-3.850000	2.350000	0.000000
-3.850000	2.450000	0.000000
-3.850000	2.550000	0.000000
-3.850000	2.650000	0.000000
-3.850000	2.750000	0.000000
-3.850000	2.850000	0.000000
-3.850000	2.950000	0.000000
-3.850000	3.050000	0.000000
-3.850000	3.150000	0.000000
-3.850000	3.250000	0.000000
-3.850000	3.350000	0.000000
-3.850000	3.450000	0.000000
-3.850000	3.550000	0.000000
-3.850000	3.650000	0.000000
-3.850000	3.750000	0.000000
-3.850000	3.850000	0.000000
-3.850000	3.950000	0.000000
-3.850000	4.050000	0.000000
-3.850000	4.150000	0.000000
-3.850000	4.250000	0.000000
-3.850000	4.350000	0.000000
-3.850000	4.450000	0.000000
-3.850000	4.550000	0.000000
-3.850000	4.650000	0.000000
-3.850000	4.750000	0.000000
-3.850000	4.850000	0.000000
-3.850000	4.950000	0.000000
-3.850000	5.050000	0.000000
-3.850000	5.150000	0.000000
-3.850000	5.250000	0.000000
-3.850000	5.350000	0.000000
-3.850000	5.450000	0.000000
-3.850000	5.550000	0.000000
-3.850000	5.650000	0.000000
-3.850000	5.750000	0.000000
-3.850000	5.850000	0.000000
-3.850000	5.950000	0.000000
-3.850000	6.050000	0.000000
-3.850000	6.150000	0.000000
-3.850000	6.250000	0.000000
-3.850000	6.350000	0.000000
-3.850000	6.450000	0.000000
-3.850000	6.550000	0.000000
-3.850000	6.650000	0.000000
-3.850000	6.750000	0.000000
-3.850000	6.850000	0.000000
-3.850000	6.950000	0.000000
-3.850000	7.050000	0.000000
-3.850000	7.150000	0.000000
-3.850000	7.250000	0.000000
-3.850000	7.350000	0.000000
-3.850000	7.450000	0.000000
-3.850000	7.550000	0.000000
-3.850000	7.650000	0.000000
-3.850000	7.750000	0.000000
-3.850000	7.850000	0.000000
-3.850000	7.950000	0.000000
-3.850000	8.050000	0.000000
-3.850000	8.150000	0.000000
-3.850000	8.250000	0.000000
-3.850000	8.350000	0.000000
-3.850000	8.450000	0.000000
-3.850000	8.550000	0.000000
-3.850000	8.650000	0.000000
-3.850000	8.750000	0.000000
-3.850000	8.850000	0.000000
-3.850000	8.950000	0.000000
-3.850000	9.050000	0.000000

-3.750000	-3.950000	0.000000
-3.750000	-3.850000	0.000000
-3.750000	-3.750000	0.000000
-3.750000	-3.650000	0.000000
-3.750000	-3.550000	0.000000
-3.750000	-3.450000	0.000000
-3.750000	-3.350000	0.000000
-3.750000	-3.250000	0.000000
-3.750000	-3.150000	0.000000
-3.750000	-3.050000	0.000000
-3.750000	-2.950000	0.000000
-3.750000	-2.850000	0.000000
-3.750000	-2.750000	0.000000
-3.750000	-2.650000	0.000000
-3.750000	-2.550000	0.000000
-3.750000	-2.450000	0.000000
-3.750000	-2.350000	0.000000
-3.750000	-2.250000	0.000000
-3.750000	-2.150000	0.000000
-3.750000	-2.050000	0.000000
-3.750000	-1.950000	0.000000
-3.750000	-1.850000	0.000000
-3.750000	-1.750000	0.000000
-3.750000	-1.650000	0.000000
-3.750000	-1.550000	0.000000
-3.750000	-1.450000	0.000000
-3.750000	-1.350000	0.000000
-3.750000	-1.250000	0.000000
-3.750000	-1.150000	0.000000
-3.750000	-1.050000	0.000000
-3.750000	-0.950000	0.000000
-3.750000	-0.850000	0.000000
-3.750000	-0.750000	0.000000
-3.750000	-0.650000	0.000000
-3.750000	-0.550000	0.000000
-3.750000	-0.450000	0.000000
-3.750000	-0.350000	0.000000
-3.750000	-0.250000	0.000000
-3.750000	-0.150000	0.000000
-3.750000	-0.050000	0.000000
-3.750000	0.050000	0.000000
-3.750000	0.150000	0.000000
-3.750000	0.250000	0.000000
-3.750000	0.350000	0.000000
-3.750000	0.450000	0.000000
-3.750000	0.550000	0.000000
-3.750000	0.650000	0.000000
-3.750000	0.750000	0.000000
-3.750000	0.850000	0.000000
-3.750000	0.950000	0.000000
-3.750000	1.050000	0.000000
-3.750000	1.150000	0.000000
-3.750000	1.250000	0.000000
-3.750000	1.350000	0.000000
-3.750000	1.450000	0.000000
-3.750000	1.550000	0.000000
-3.750000	1.650000	0.000000
-3.750000	1.750000	0.000000
-3.750000	1.850000	0.000000
-3.750000	1.950000	0.000000
-3.750000	2.050000	0.000000
-3.750000	2.150000	0.000000
-3.750000	2.250000	0.000000
-3.750000	2.350000	0.000000
-3.750000	2.450000	0.000000
-3.750000	2.550000	0.000000
-3.750000	2.650000	0.000000
-3.750000	2.750000	0.000000
-3.750000	2.850000	0.000000
-3.750000	2.950000	0.000000
-3.750000	3.050000	0.000000
-3.750000	3.150000	0.000000
-3.750000	3.250000	0.000000
-3.750000	3.350000	0.000000
-3.750000	3.450000	0.000000
-3.750000	3.550000	0.000000
-3.750000	3.650000	0.000000
-3.750000	3.750000	0.000000
-3.750000	3.850000	0.000000
-3.750000	3.950000	0.000000
-3.750000	4.050000	0.000000
-3.750000	4.150000	0.000000
-3.750000	4.250000	0.000000
-3.750000	4.350000	0.000000
-3.750000	4.450000	0.000000
-3.750000	4.550000	0.000000
-3.750000	4.650000	0.000000
-3.750000	4.750000	0.000000
-3.750000	4.850000	0.000000
-3.750000	4.950000	0.000000
-3.750000	5.050000	0.000000
-3.750000	5.150000	0.000000
-3.750000	5.250000	0.000000
-3.750000	5.350000	0.000000
-3.750000	5.450000	0.000000
-3.750000	5.550000	0.000000
-3.750000	5.650000	0.000000
-3.750000	5.750000	0.000000
-3.750000	5.850000	0.000000
-3.750000	5.950000	0.000000
-3.750000	6.050000	0.000000
-3.750000	6.150000	0.000000
-3.750000	6.250000	0.000000
-3.750000	6.350000	0.000000
-3.750000	6.450000	0.000000
-3.750000	6.550000	0.000000
-3.750000	6.650000	0.000000
-3.750000	6.750000	0.000000
-3.750000	6.850000	0.000000
-3.750000	6.950000	0.000000
-3.750000	7.050000	0.000000
-3.750000	7.150000	0.000000
-3.750000	7.250000	0.000000
-3.750000	7.350000	0.000000
-3.750000	7.450000	0.000000
-3.750000	7.550000	0.000000
-3.750000	7.650000	0.000000
-3.750000	7.750000	0.000000
-3.750000	7.850000	0.000000
-3.750000	7.950000	0.000000
-3.750000	8.050000	0.000000
-3.750000	8.150000	0.000000
-3.750000	8.250000	0.000000
-3.750000	8.350000	0.000000
-3.750000	8.450000	0.000000
-3.750000	8.550000	0.000000
-3.750000	8.650000	0.000000
-3.750000	8.750000	0.000000
-3.750000	8.850000	0.000000
-3.750000	8.950000	0.000000
-3.750000	9.050000	0.000000

-3.650000	-3.950000	0.000000
-3.650000	-3.850000	0.000000
-3.650000	-3.750000	0.000000
-3.650000	-3.650000	0.000000
-3.650000	-3.550000	0.000000
-3.650000	-3.450000	0.000000
-3.650000	-3.350000	0.000000
-3.650000	-3.250000	0.000000
-3.650000	-3.150000	0.000000
-3.650000	-3.050000	0.000000
-3.650000	-2.950000	0.000000
-3.650000	-2.850000	0.000000
-3.650000	-2.750000	0.000000
-3.650000	-2.650000	0.000000
-3.650000	-2.550000	0.000000
-3.650000	-2.450000	0.000000
-3.650000	-2.350000	0.000000
-3.650000	-2.250000	0.000000
-3.650000	-2.150000	0.000000
-3.650000	-2.050000	0.000000
-3.650000	-1.950000	0.000000
-3.650000	-1.850000	0.000000
-3.650000	-1.750000	0.000000
-3.650000	-1.650000	0.000000
-3.650000	-1.550000	0.000000
-3.650000	-1.450000	0.000000
-3.650000	-1.350000	0.000000
-3.650000	-1.250000	0.000000
-3.650000	-1.150000	0.000000
-3.650000	-1.050000	0.000000
-3.650000	-0.950000	0.000000
-3.650000	-0.850000	0.000000
-3.650000	-0.750000	0.000000
-3.650000	-0.650000	0.000000
-3.650000	-0.550000	0.000000
-3.650000	-0.450000	0.000000
-3.650000	-0.350000	0.000000
-3.650000	-0.250000	0.000000
-3.650000	-0.150000	0.000000
-3.650000	-0.050000	0.000000
-3.650000	0.050000	0.000000
-3.650000	0.150000	0.000000
-3.650000	0.250000	0.000000
-3.650000	0.350000	0.000000
-3.650000	0.450000	0.000000
-3.650000	0.550000	0.000000
-3.650000	0.650000	0.000000
-3.650000	0.750000	0.000000
-3.650000	0.850000	0.000000
-3.650000	0.950000	0.000000
-3.650000	1.050000	0.000000
-3.650000	1.150000	0.000000
-3.650000	1.250000	0.000000
-3.650000	1.350000	0.000000
-3.650000	1.450000	0.000000
-3.650000	1.550000	0.000000
-3.650000	1.650000	0.000000
-3.650000	1.750000	0.000000
-3.650000	1.850000	0.000000
-3.650000	1.950000	0.000000
-3.650000	2.050000	0.000000
-3.650000	2.150000	0.000000
-3.650000	2.250000	0.000000
-3.650000	2.350000	0.000000
-3.650000	2.450000	0.000000
-3.650000	2.550000	0.000000
-3.650000	2.650000	0.000000
-3.650000	2.750000	0.000000
-3.650000	2.850000	0.000000
-3.650000	2.950000	0.000000
-3.650000	3.050000	0.000000
-3.650000	3.150000	0.000000
-3.650000	3.250000	0.000000
-3.650000	3.350000	0.000000
-3.650000	3.450000	0.000000
-3.650000	3.550000	0.000000
-3.650000	3.650000	0.000000
-3.650000	3.750000	0.000000
-3.650000	3.850000	0.000000
-3.650000	3.950000	0.000000
-3.650000	4.050000	0.000000
-3.650000	4.150000	0.000000
-3.650000	4.250000	0.000000
-3.650000	4.350000	0.000000
-3.650000	4.450000	0.000000
-3.650000	4.550000	0.000000
-3.650000	4.650000	0.000000
-3.650000	4.750000	0.000000
-3.650000	4.850000	0.000000
-3.650000	4.950000	0.000000
-3.650000	5.050000	0.000000
-3.650000	5.150000	0.000000
-3.650000	5.250000	0.000000
-3.650000	5.350000	0.000000
-3.650000	5.450000	0.000000
-3.650000	5.550000	0.000000
-3.650000	5.650000	0.000000
-3.650000	5.750000	0.000000
-3.650000	5.850000	0.000000
-3.650000	5.950000	0.000000
-3.650000	6.050000	0.000000
-3.650000	6.150000	0.000000
-3.650000	6.250000	0.000000
-3.650000	6.350000	0.000000
-3.650000	6.450000	0.000000
-3.650000	6.550000	0.000000
-3.650000	6.650000	0.000000
-3.650000	6.750000	0.000000
-3.650000	6.850000	0.000000
-3.650000	6.950000	0.000000
-3.650000	7.050000	0.000000
-3.650000	7.150000	0.000000
-3.650000	7.250000	0.000000
-3.650000	7.350000	0.000000
-3.650000	7.450000	0.000000
-3.650000	7.550000	0.000000
-3.650000	7.650000	0.000000
-3.650000	7.750000	0.000000
-3.650000	7.850000	0.000000
-3.650000	7.950000	0.000000
-3.650000	8.050000	0.000000
-3.650000	8.150000	0.000000
-3.650000	8.250000	0.000000
-3.650000	8.350000	0.000000
-3.650000	8.450000	0.000000
-3.650000	8.550000	0.000000
-3.650000	8.650000	0.000000
-3.650000	8.750000	0.000000
-3.650000	8.850000	0.000000
-3.650000	8.950000	0.000000
-3.650000	9.050000	0.000000

-3.550000	-3.950000	0.000000
-3.550000	-3.850000	0.000000
-3.550000	-3.750000	0.000000
-3.550000	-3.650000	0.000000
-3.550000	-3.550000	0.000000
-3.550000	-3.450000	0.000000
-3.550000	-3.350000	0.000000
-3.550000	-3.250000	0.000000
-3.550000	-3.150000	0.000000
-3.550000	-3.050000	0.000000
-3.550000	-2.950000	0.000000
-3.550000	-2.850000	0.000000
-3.550000	-2.750000	0.000000
-3.550000	-2.650000	0.000000
-3.550000	-2.550000	0.000000
-3.550000	-2.450000	0.000000
-3.550000	-2.350000	0.000000
-3.550000	-2.250000	0.000000
-3.550000	-2.150000	0.000000
-3.550000	-2.050000	0.000000
-3.550000	-1.950000	0.000000
-3.550000	-1.850000	0.000000
-3.550000	-1.750000	0.000000
-3.550000	-1.650000	0.000000
-3.550000	-1.550000	0.000000
-3.550000	-1.450000	0.000000
-3.550000	-1.350000	0.000000
-3.550000	-1.250000	0.000000
-3.550000	-1.150000	0.000000
-3.550000	-1.050000	0.000000
-3.550000	-0.950000	0.000000
-3.550000	-0.850000	0.000000
-3.550000	-0.750000	0.000000
-3.550000	-0.650000	0.000000
-3.550000	-0.550000	0.000000
-3.550000	-0.450000	0.000000
-3.550000	-0.350000	0.000000
-3.550000	-0.250000	0.000000
-3.550000	-0.150000	0.000000
-3.550000	-0.050000	0.000000
-3.550000	0.050000	0.000000
-3.550000	0.150000	0.000000
-3.550000	0.250000	0.000000
-3.550000	0.350000	0.000000
-3.550000	0.450000	0.000000
-3.550000	0.550000	0.000000
-3.550000	0.650000	0.000000
-3.550000	0.750000	0.000000
-3.550000	0.850000	0.000000
-3.550000	0.950000	0.000000
-3.550000	1.050000	0.000000
-3.550000	1.150000	0.000000
-3.550000	1.250000	0.000000
-3.550000	1.350000	0.000000
-3.550000	1.450000	0.000000
-3.550000	1.550000	0.000000
-3.550000	1.650000	0.000000
-3.550000	1.750000	0.000000
-3.550000	1.850000	0.000000
-3.550000	1.950000	0.000000
-3.550000	2.050000	0.000000
-3.550000	2.150000	0.000000
-3.550000	2.250000	0.000000
-3.550000	2.350000	0.000000
-3.550000	2.450000	0.000000
-3.550000	2.550000	0.000000
-3.550000	2.650000	0.000000
-3.550000	2.750000	0.000000
-3.550000	2.850000	0.000000
-3.550000	2.950000	0.000000
-3.550000	3.050000	0.000000
-3.550000	3.150000	0.000000
-3.550000	3.250000	0.000000
-3.550000	3.350000	0.000000
-3.550000	3.450000	0.000000
-3.550000	3.550000	0.000000
-3.550000	3.650000	0.000000
-3.550000	3.750000	0.000000
-3.550000	3.850000	0.000000
-3.550000	3.950000	0.000000
-3.550000	4.050000	0.000000
-3.550000	4.150000	0.000000
-3.550000	4.250000	0.000000
-3.550000	4.350000	0.000000
-3.550000	4.450000	0.000000
-3.550000	4.550000	0.000000
-3.550000	4.650000	0.000000
-3.550000	4.750000	0.000000
-3.550000	4.850000	0.000000
-3.550000	4.950000	0.000000
-3.550000	5.050000	0.000000
-3.550000	5.150000	0.000000
-3.550000	5.250000	0.000000
-3.550000	5.350000	0.000000
-3.550000	5.450000	0.000000
-3.550000	5.550000	0.000000
-3.550000	5.650000	0.000000
-3.550000	5.750000	0.000000
-3.550000	5.850000	0.000000
-3.550000	5.950000	0.000000
-3.550000	6.050000	0.000000
-3.550000	6.150000	0.000000
-3.550000	6.250000	0.000000
-3.550000	6.350000	0.000000
-3.550000	6.450000	0.000000
-3.550000	6.550000	0.000000
-3.550000	6.650000	0.000000
-3.550000	6.750000	0.000000
-3.550000	6.850000	0.000000
-3.550000	6.950000	0.000000
-3.550000	7.050000	0.000000
-3.550000	7.150000	0.000000
-3.550000	7.250000	0.000000
-3.550000	7.350000	0.000000
-3.550000	7.450000	0.000000
-3.550000	7.550000	0.000000
-3.550000	7.650000	0.000000
-3.550000	7.750000	0.000000
-3.550000	7.850000	0.000000
-3.550000	7.950000	0.000000
-3.550000	8.050000	0.000000
-3.550000	8.150000	0.000000
-3.550000	8.250000	0.000000
-3.550000	8.350000	0.000000
-3.550000	8.450000	0.000000
-3.550000	8.550000	0.000000
-3.550000	8.650000	0.000000
-3.550000	8.750000	0.000000
-3.550000	8.850000	0.000000
-3.550000	8.950000	0.000000
-3.550000	9.050000	0.000000

-3.450000	-3.950000	0.000000
-3.450000	-3.850000	0.000000
-3.450000	-3.750000	0.000000
-3.450000	-3.650000	0.000000
-3.450000	-3.550000	0.000000
-3.450000	-3.450000	0.000000
-3.450000	-3.350000	0.000000
-3.450000	-3.250000	0.000000
-3.450000	-3.150000	0.000000
-3.450000	-3.050000	0.000000
-3.450000	-2.950000	0.000000
-3.450000	-2.850000	0.000000
-3.450000	-2.750000	0.000000
-3.450000	-2.650000	0.000000
-3.450000	-2.550000	0.000000
-3.450000	-2.450000	0.000000
-3.450000	-2.350000	0.000000
-3.450000	-2.250000	0.000000
-3.450000	-2.150000	0.000000
-3.450000	-2.050000	0.000000
-3.450000	-1.950000	0.000000
-3.450000	-1.850000	0.000000
-3.450000	-1.750000	0.000000
-3.450000	-1.650000	0.000000
-3.450000	-1.550000	0.000000
-3.450000	-1.450000	0.000000
-3.450000	-1.350000	0.000000
-3.450000	-1.250000	0.000000
-3.450000	-1.150000	0.000000
-3.450000	-1.050000	0.000000
-3.450000	-0.950000	0.000000
-3.450000	-0.850000	0.000000
-3.450000	-0.750000	0.000000
-3.450000	-0.650000	0.000000
-3.450000	-0.550000	0.000000
-3.450000	-0.450000	0.000000
-3.450000	-0.350000	0.000000
-3.450000	-0.250000	0.000000
-3.450000	-0.150000	0.000000
-3.450000	-0.050000	0.000000
-3.450000	0.050000	0.000000
-3.450000	0.150000	0.000000
-3.450000	0.250000	0.000000
-3.450000	0.350000	0.000000
-3.450000	0.450000	0.000000
-3.450000	0.550000	0.000000
-3.450000	0.650000	0.000000
-3.450000	0.750000	0.000000
-3.450000	0.850000	0.000000
-3.450000	0.950000	0.000000
-3.450000	1.050000	0.000000
-3.450000	1.150000	0.000000
-3.450000	1.250000	0.000000
-3.450000	1.350000	0.000000
-3.450000	1.450000	0.000000
-3.450000	1.550000	0.000000
-3.450000	1.650000	0.000000
-3.450000	1.750000	0.000000
-3.450000	1.850000	0.000000
-3.450000	1.950000	0.000000
-3.450000	2.050000	0.000000
-3.450000	2.150000	0.000000
-3.450000	2.250000	0.000000
-3.450000	2.350000	0.000000
-3.450000	2.450000	0.000000
-3.450000	2.550000	0.000000
-3.450000	2.650000	0.000000
-3.450000	2.750000	0.000000
-3.450000	2.850000	0.000000
-3.450000	2.950000	0.000000
-3.450000	3.050000	0.000000
-3.450000	3.150000	0.000000
-3.450000	3.250000	0.000000
-3.450000	3.350000	0.000000
-3.450000	3.450000	0.000000
-3.450000	3.550000	0.000000
-3.450000	3.650000	0.000000
-3.450000	3.750000	0.000000
-3.450000	3.850000	0.000000
-3.450000	3.950000	0.000000
-3.450000	4.050000	0.000000
-3.450000	4.150000	0.000000
-3.450000	4.250000	0.000000
-3.450000	4.350000	0.000000
-3.450000	4.450000	0.000000
-3.450000	4.550000	0.000000
-3.450000	4.650000	0.000000
-3.450000	4.750000	0.000000
-3.450000	4.850000	0.000000
-3.450000	4.950000	0.000000
-3.450000	5.050000	0.000000
-3.450000	5.150000	0.000000
-3.450000	5.250000	0.000000
-3.450000	5.350000	0.000000
-3.450000	5.450000	0.000000
-3.450000	5.550000	0.000000
-3.450000	5.650000	0.000000
-3.450000	5.750000	0.000000
-3.450000	5.850000	0.000000
-3.450000	5.950000	0.000000
-3.450000	6.050000	0.000000
-3.450000	6.150000	0.000000
-3.450000	6.250000	0.000000
-3.450000	6.350000	0.000000
-3.450000	6.450000	0.000000
-3.450000	6.550000	0.000000
-3.450000	6.650000	0.000000
-3.450000	6.750000	0.000000
-3.450000	6.850000	0.000000
-3.450000	6.950000	0.000000
-3.450000	7.050000	0.000000
-3.450000	7.150000	0.000000
-3.450000	7.250000	0.000000
-3.450000	7.350000	0.000000
-3.450000	7.450000	0.000000
-3.450000	7.550000	0.000000
-3.450000	7.650000	0.000000
-3.450000	7.750000	0.000000
-3.450000	7.850000	0.000000
-3.450000	7.950000	0.000000
-3.450000	8.050000	0.000000
-3.450000	8.150000	0.000000
-3.450000	8.250000	0.000000
-3.450000	8.350000	0.000000
-3.450000	8.450000	0.000000
-3.450000	8.550000	0.000000
-3.450000	8.650000	0.000000
-3.450000	8.750000	0.000000
-3.450000	8.850000	0.000000
-3.450000	8.950000	0.000000
-3.450000	9.050000	0.000000

-3.350000	-3.950000	0.000000
-3.350000	-3.850000	0.000000
-3.350000	-3.750000	0.000000
-3.350000	-3.650000	0.000000
-3.350000	-3.550000	0.000000
-3.350000	-3.450000	0.000000
-3.350000	-3.350000	0.000000
-3.350000	-3.250000	0.000000
-3.350000	-3.150000	0.000000
-3.350000	-3.050000	0.000000
-3.350000	-2.950000	0.000000
-3.350000	-2.850000	0.000000
-3.350000	-2.750000	0.000000
-3.350000	-2.650000	0.000000
-3.350000	-2.550000	0.000000
-3.350000	-2.450000	0.000000
-3.350000	-2.350000	0.000000
-3.350000	-2.250000	0.000000
-3.350000	-2.150000	0.000000
-3.350000	-2.050000	0.000000
-3.350000	-1.950000	0.000000
-3.350000	-1.850000	0.000000
-3.350000	-1.750000	0.000000
-3.350000	-1.650000	0.000000
-3.350000	-1.550000	0.000000
-3.350000	-1.450000	0.000000
-3.350000	-1.350000	0.000000
-3.350000	-1.250000	0.000000
-3.350000	-1.150000	0.000000
-3.350000	-1.050000	0.000000
-3.350000	-0.950000	0.000000
-3.350000	-0.850000	0.000000
-3.350000	-0.750000	0.000000
-3.350000	-0.650000	0.000000
-3.350000	-0.550000	0.000000
-3.350000	-0.450000	0.000000
-3.350000	-0.350000	0.000000
-3.350000	-0.250000	0.000000
-3.350000	-0.150000	0.000000
-3.350000	-0.050000	0.000000
-3.350000	0.050000	0.000000
-3.350000	0.150000	0.000000
-3.350000	0.250000	0.000000
-3.350000	0.350000	0.000000
-3.350000	0.450000	0.000000
-3.350000	0.550000	0.000000
-3.350000	0.650000	0.000000
-3.350000	0.750000	0.000000
-3.350000	0.850000	0.000000
